timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1610629096050,19189,Create LIST,201,,Load Test 1-59,text,true,,319,251,32,32,http://localhost:9092/list/create,19189,0,0
1610629086898,28344,GET LIST,200,,Load Test 1-3,text,true,,940338,125,31,31,http://localhost:9092/list/read,28325,0,1
1610629096249,19331,Create LIST,201,,Load Test 1-58,text,true,,319,251,30,30,http://localhost:9092/list/create,19331,0,0
1610629096325,19255,Create LIST,201,,Load Test 1-57,text,true,,319,251,30,30,http://localhost:9092/list/create,19255,0,0
1610629086995,28590,GET LIST,200,,Load Test 1-2,text,true,,940338,125,28,28,http://localhost:9092/list/read,28568,0,1
1610629087108,28505,GET LIST,200,,Load Test 1-1,text,true,,940338,125,27,27,http://localhost:9092/list/read,28482,0,1
1610629096512,20567,Create LIST,201,,Load Test 1-56,text,true,,319,251,26,26,http://localhost:9092/list/create,20567,0,0
1610629096701,20379,Create LIST,201,,Load Test 1-55,text,true,,319,251,26,26,http://localhost:9092/list/create,20379,0,0
1610629096917,20163,Create LIST,201,,Load Test 1-54,text,true,,319,251,24,24,http://localhost:9092/list/create,20163,0,0
1610629097215,19866,Create LIST,201,,Load Test 1-53,text,true,,319,251,23,23,http://localhost:9092/list/create,19866,0,0
1610629089552,27531,GET LIST,200,,Load Test 1-100,text,true,,940730,125,22,22,http://localhost:9092/list/read,27512,0,1
1610629097497,19590,Create LIST,201,,Load Test 1-52,text,true,,319,251,21,21,http://localhost:9092/list/create,19590,0,0
1610629097560,19527,Create LIST,201,,Load Test 1-51,text,true,,319,251,21,21,http://localhost:9092/list/create,19527,0,0
1610629099373,17715,Create LIST,201,,Load Test 1-50,text,true,,319,251,19,19,http://localhost:9092/list/create,17715,0,0
1610629099696,17393,Create LIST,201,,Load Test 1-49,text,true,,319,251,18,18,http://localhost:9092/list/create,17393,0,0
1610629099947,17142,Create LIST,201,,Load Test 1-48,text,true,,319,251,17,17,http://localhost:9092/list/create,17142,0,0
1610629100117,16973,Create LIST,201,,Load Test 1-47,text,true,,319,251,16,16,http://localhost:9092/list/create,16972,0,0
1610629100179,16911,Create LIST,201,,Load Test 1-46,text,true,,319,251,15,15,http://localhost:9092/list/create,16911,0,0
1610629100431,16660,Create LIST,201,,Load Test 1-45,text,true,,319,251,14,14,http://localhost:9092/list/create,16660,0,0
1610629100541,16550,Create LIST,201,,Load Test 1-44,text,true,,319,251,13,13,http://localhost:9092/list/create,16550,0,0
1610629100901,16191,Create LIST,201,,Load Test 1-43,text,true,,319,251,12,12,http://localhost:9092/list/create,16191,0,0
1610629101091,16001,Create LIST,201,,Load Test 1-42,text,true,,319,251,11,11,http://localhost:9092/list/create,16001,0,0
1610629101232,15861,Create LIST,201,,Load Test 1-41,text,true,,319,251,10,10,http://localhost:9092/list/create,15861,0,0
1610629089552,27903,GET LIST,200,,Load Test 1-99,text,true,,940730,125,9,9,http://localhost:9092/list/read,27885,0,1
1610629090125,27659,GET LIST,200,,Load Test 1-98,text,true,,940898,125,8,8,http://localhost:9092/list/read,27643,0,1
1610629092499,25609,GET LIST,200,,Load Test 1-97,text,true,,941066,125,7,7,http://localhost:9092/list/read,25592,0,0
1610629093188,25257,GET LIST,200,,Load Test 1-96,text,true,,941290,125,6,6,http://localhost:9092/list/read,25242,0,0
1610629093840,24766,GET LIST,200,,Load Test 1-95,text,true,,941458,125,5,5,http://localhost:9092/list/read,24752,0,0
1610629095765,22956,GET LIST,200,,Load Test 1-94,text,true,,941514,125,4,4,http://localhost:9092/list/read,22942,0,1
1610629096051,22707,GET LIST,200,,Load Test 1-93,text,true,,941570,125,3,3,http://localhost:9092/list/read,22692,0,0
1610629096325,22461,GET LIST,200,,Load Test 1-91,text,true,,941682,125,2,2,http://localhost:9092/list/read,22446,0,1
1610629096325,22491,GET LIST,200,,Load Test 1-92,text,true,,941682,125,1,1,http://localhost:9092/list/read,22477,0,1
